Gene	ERR2694921	ERR2694922	ERR2694923	ERR2694924	ERR2694925	ERR2694926	ERR2694927	ERR2694928	ERR2694929	ERR2694930	ERR2694931	ERR2694932	ERR2694934	ERR2694935	ERR2694936	ERR2694937	ERR2694938	ERR2694939	ERR2694940	ERR2694941	ERR2694942	ERR2694943	ERR2694945	ERR2694946	ERR2694947	ERR2694948	ERR2694949	ERR2694950	ERR2694951	ERR2694952	ERR2694953	ERR2694954	ERR2694955	ERR2694956	ERR2694957	ERR2694958	ERR2694959	ERR2694960	ERR2694961	ERR2694962	ERR2694963	ERR2694964
IGHG2	1.216494845	0.514920635	0.125203252	0.120930233	0	2.361607143	0.952622673	2.039426523	0.435691318	0.346511628	0.495145631	2.16751269	0.56741573	0.227272727	41.58333333	4.52173913	0.409836066	0.280218019	0.85488959	2.631578947	0.063063063	0.942307692	0.95423341	1.201492537	0.922779923	0.584070796	3.061016949	NA	18.425	0.668523677	2.717391304	0.297951583	0.705167173	0.444743935	2.375494071	0.841269841	0.694620253	0	0.026923077	9.31884058	4.073394495	2.561403509
IGHG3	0.763804547	0.309610785	0.024223187	0.157056387	0.627253064	0.25272138	0.060496488	0.544631021	0.233118971	0.468859509	0.421044465	2.566059384	1.333500077	2.29585483	4.965753425	4.145324598	6.593869302	0.234675234	0.303897844	1.10640471	2.86313711	0.35651563	0.645434312	1.600899612	0.053683821	0	1.04028326	NA	9.186643836	0.016598619	3.616363907	0.429995408	0.102635633	0.642469446	2.288564622	0.210190621	0.389717357	0.792778178	0.030558483	2.403712527	3.69014704	1.559420812
IGHJ1.1	1.348682703	0.032733686	0.364137308	0.989147287	5.144249513	1.740575397	0.877796578	0.16168857	0.450696677	1.094056848	1.699748292	0.32712916	0.470661673	3.222222222	4.833333333	1.354267311	0.422586521	0.114673506	1.026638626	4.070175439	1.465965966	2.106837607	1.511568777	0.48092869	3.072930073	3.393313668	1.758568738	NA	13.775	0.179510987	4.483091787	0.870060004	1.929415738	1.398322851	3.069389548	0.204585538	1.498945148	1.026965562	0.425498575	4.576489533	4.818552497	1.177712801
IGHJ1.2	0.887263053	0.126711043	0.408165049	1.225556389	8.971892096	5.220334101	2.05774794	2.660037769	0.391038274	2.436609152	3.40084212	3.941378746	3.074483509	2.196969697	44.17562724	7.818295153	11.8085669	0.061985679	2.360842577	10.1754386	3.132325874	3.018334712	1.241603307	2.443428021	0.686262299	7.754305833	2.188080919	NA	26.8172043	0.442986791	7.117812062	0.615526321	2.113605909	1.773468974	1.898083216	2.458326222	0.996665306	1.659435327	0.735594155	14.82312607	3.604616751	4.932717097
IGHJ1.3	2.065604499	0.378715729	1.119918699	1.026955603	11.10047847	2.854099026	1.332679588	2.362333007	1.578851213	2.069238901	1.162474257	2.843793263	1.814351379	2.321797521	69.75378788	7.593873518	6.158718331	0.134184908	1.039575566	9.626196172	1.603194103	1.964597902	0.972800083	1.377204885	1.11969112	7.874094932	3.105546995	NA	17.63068182	0.908774373	2.6506917	0.497079736	0.580961592	1.820938495	3.634117858	2.458513709	1.402653913	0.751594896	0.654865967	10.84156785	1.118640534	2.736576289
IGHJ1.4	1.132565191	0.184126984	0.033285509	0	1.975232198	0.274159664	0.11545735	2.629137677	0.466237942	1.087004104	1.777650866	1.766497462	0.095836087	0.099694423	24.16666667	1.977834612	12.08100289	0.267996907	0.559658564	5.386996904	0.138314785	2.012066365	0.28886795	0.611062335	0	1.630400833	2.185842473	NA	5.629411765	1.320989677	0.482097187	0.028590207	1.762917933	1.627715237	2.575680074	2.310613134	1.279411765	1.675954592	0.564253394	5.636828645	5.164597949	4.339525284
IGHJ1.5	1.208079108	0.037576936	0	0.646891315	0	0	0.500707897	1.060639309	0.903930704	0.013763645	3.179446536	0.600849477	1.113850034	1.056851312	27.61904762	4.202898551	9.508196721	0.092978519	3.827335351	3.634085213	0.666482809	4.514652015	0	6.18336887	1.805216295	2.566371681	0	NA	11.54081633	0.016485703	3.152173913	0.595143085	2.806277526	0.382859343	1.216423328	4.415289925	0.046822526	0.571070533	0.629774987	0.771960958	1.628908444	0.328798186
IGHJ1.6	0.887051093	0.564521193	0.150272492	0.222335804	0.782726046	3.186813187	1.040702107	0.43404624	0.824882513	1.963966266	0.959137949	1.860322419	0.125324114	1.552019409	52.31684982	8.221054308	1.77625653	0.042913163	0.32169723	0.810680548	0.200970201	0.694561848	0.284406669	0.618336887	0.135347278	3.948264125	0.950642578	Inf	12.90659341	0.150907588	0.311753464	0.670595699	2.024449714	1.571932111	1.13364896	3.186813187	0.771491167	1.174089069	0.441251057	4.572384138	6.402863192	1.994087784
IGHJ2.1	0.120795585	0.202725669	0.535846268	0.272492366	0.102782208	0.117694805	0.728605856	2.078853047	0.70171165	2.84754522	0.786832729	3.851202379	0.905118602	0.389938344	24.65488215	5.094422486	13.013744	0.217889054	1.210527993	0	1.543816544	1.802641803	0.08043825	0.30604553	0.441090441	8.658264056	0.188666324	NA	11.3510101	2.415238738	1.305445762	0.523672479	2.484111633	0.41057475	2.246177187	1.13142002	0.760132975	0.068521472	0.435638436	0.042453521	5.240478176	0.805127296
IGHJ2.2	0.540073163	0.605837174	0.552670688	1.095023756	4.923599321	3.090437788	1.06053163	1.497668324	1.273381046	3.56064016	2.8256255	3.244910212	0.481756675	2.358958246	39.49820789	3.253856942	10.88841883	0.348919388	1.780468777	6.455385776	2.5704737	0.279845602	0.635072956	3.769860376	1.685556524	7.395565706	1.194459632	Inf	12.47311828	3.179081678	7.490649836	0.43261048	2.985586822	0.680810364	5.225891453	0.610456847	1.820641078	1.686788656	0.919492694	2.982702197	3.204103778	2.735332956
IGHJ2.3	0.482427366	0.142279942	0.117886179	0.160940803	5.665869219	1.838981331	2.01853561	2.409579668	1.276856182	0.597780127	1.642394822	1.204430088	2.64747191	1.925914994	71.12689394	2.865612648	10.48062593	0.258860649	1.1019501	7.689393939	3.681408681	0.929487179	1.334772207	0.860753053	3.957090207	6.765888978	2.446456086	NA	14.17045455	1.909344138	1.253705534	0.567652785	1.80298425	0.621783877	2.24038807	0.924122174	0.401503165	0.510699096	1.487179487	1.241765481	6.742076731	1.859715577
IGHJ2.4	1.251498442	0.214101144	0.008224617	1.191995673	4.791921665	4.471034053	0.747452091	1.583312495	0.710199656	0.580313683	1.626025438	1.848660135	0.681996342	1.883116883	25.00968992	8.405797101	8.789553946	0.103789974	3.159342675	2.603019176	0.151896082	2.161598092	0.22377734	0.201318986	2.408637874	0	1.611746157	NA	2.950581395	0.826585476	3.885237614	0.122450305	0.932706581	0.718046762	1.252872507	0	0.896379158	1.962124303	0.821407275	12.60869565	2.320247493	0.96627227
IGHJ2.5	1.818220072	0.815419501	0.721752115	2.257237779	8.514142499	2.721392128	0.620877793	1.209128813	0.865870464	1.348837209	0.019153292	5.287475396	0	1.979194275	31.07142857	2.401656315	0.194044831	0.003795042	0.093349643	2.543859649	0.133296562	0	0	0.04416692	0.708376014	2.671121546	0.421307506	NA	3.107142857	0.90671366	1.222271517	0	1.762917933	0.749766214	2.807130757	0.84548105	0.252841643	2.664995823	0.872579801	9.09198462	5.212507021	1.315192744
IGHJ2.6	1.261583777	0.200313972	0.03109086	0.066700741	0.503181029	0.398351648	0.674029862	1.050848793	0.558460832	0.689240992	2.867100537	2.135326602	0.179034449	0.444912231	1.858974359	12.93199554	1.515042335	0.215587554	1.568273997	1.7052246	1.148401148	6.251056636	0.634445646	0.428079383	0.479867623	4.484099971	1.10188117	NA	28.60164835	1.509075882	5.334448161	0.789285203	1.084872574	0.274873375	1.536724145	3.979301122	0.635345667	0.307499518	0.457593688	2.401656315	7.835467285	1.444315918
IGHM1	0.13143532	0.189257457	0.159858038	0.079343365	2.977024605	1.386831048	0.270413268	0.34111211	0.394064886	1.12751098	1.693969361	1.157611856	0.131144119	0.291504161	3.815789474	4.2679589	4.945439781	0.141626722	0.713734606	0.37803487	0.210303182	0.138128126	0.078072419	3.946444249	0.78343713	2.240609332	1.308705463	NA	10.63931889	1.955724967	10.89110244	0.507434376	2.071292123	0.738110537	2.292490119	0.076007011	0.217355097	0.228396068	0.720568389	5.725310719	0.609537876	0.853203701
IGHM2	0.273977849	0.24056219	0.075184374	0.995968032	8.411275868	0.809652808	1.323202003	1.425591176	0.060625367	0.206710346	2.208261946	0.592478509	0.027742025	1.827731092	3.740970072	3.955669224	5.828554027	0.096720688	0.067974724	0.417413503	2.600479737	0.425895054	0.96563255	3.51092833	1.28261831	1.978410367	3.700897308	Inf	5.67879257	0.945350432	2.234822991	0.006687768	0.158280557	0.941393439	1.17463503	2.536733992	0.39493279	0.551300853	0.997975709	2.680486382	6.869656602	0.903083302
IGHV1.10	0.508883527	0.166106045	0.262861097	1.064720435	0.432997387	0.724449088	0.055333549	0.942118508	0.266846822	0.209500247	0.407353853	0.175396911	0.029464499	0.689140647	5.964539007	0.465001542	9.164283223	0.002769573	0.262769313	0.67114595	0.789342534	1.269639935	0.228735576	0.036837091	0.138174649	0.911881002	0.188243779	NA	5.460638298	0.390149944	4.433163737	0.160862158	1.220914441	0.066525205	0.056092843	0.225261736	0.462765957	0.342789598	0.293480633	3.049337034	2.360530939	0.93635685
IGHV1.14	0.459267383	0.208807835	0.091800727	0.163582385	0.519596865	0.64181231	0.425963927	1.439716312	0.442430047	1.01736764	1.735247538	0.253699104	1.776535979	3.559892235	8.484042553	6.885599753	5.128357168	0.034421835	0.39512719	1.044606196	1.272953805	1.918303328	0.710209845	0.695300095	0.488375914	1.878365656	1.788315903	NA	14.23776596	0.950453387	1.435245143	0.70377194	1.68414926	0.944657911	2.258346649	0.457052797	0.479363049	0.138919995	0.230196399	0.921060746	1.698223697	1.178113724
IGHV1.17	1.401974117	0.145734549	0.295467912	0.879614052	4.481522956	2.156819909	0.31320877	0.827118127	1.144762947	0.429045027	0.301521724	0.773625662	0.648218982	1.189969605	16.35106383	1.484427999	7.009766306	0.091395906	1.767366937	0.124486749	1.056162546	1.728450627	0.463118944	0.547951731	1.081573975	0.38222557	1.892895781	Inf	6.216489362	0.039530611	4.956290472	0.155117081	0.532626269	1.511785284	0.748717517	1.338511764	0.769323997	0.396914271	0.628096017	8.960222017	6.090962327	1.45775787
IGHV1.20	2.35613073	0.600959135	0.624545926	0.698812469	10.35946249	1.92543693	0.332001296	0.605963548	2.112950674	1.729094508	0.259588239	1.800950427	0.920332297	1.584622824	36.14716312	11.77705828	10.36798047	0.0846698	1.527954896	1.131205674	1.990032586	5.153709765	0.259798432	1.805017466	0.628932884	1.053850499	3.511792283	NA	5.491489362	1.180762164	0	0.706644479	0.076893229	1.831106268	0.146329157	2.399527187	1.249663345	0.18402389	0.988816148	10.68609312	6.051337107	2.827112107
IGHV1.21	1.147532354	0.287943262	0.368206193	0.876744186	6.657334826	1.47368921	1.562911762	1.112407535	0.421598139	1.15655616	1.198099566	2.706123771	1.409096342	0.825366123	77.33333333	8.280604379	14.99058249	0.159250442	1.296328613	1.266517357	1.234042553	1.764048009	0.415112712	1.17418228	1.755770969	3.538316701	1.257050126	Inf	14.96276596	1.529662775	2.079093432	0.514758905	1.365323676	0.651947009	0.024388193	4.795789711	0.679504444	0.063145452	0.555319149	4.748381129	1.692562951	1.560594749
IGHV1.25	1.157710024	0.236231003	0.202162256	0.311380505	8.854796566	1.8868731	0.440580336	0.356058873	0.754908668	1.835279565	0.884596846	1.205853764	1.627480277	0.871442387	45.96808511	13.56552575	8.122427625	0.099902451	0.132357876	0.205673759	1.311865057	1.182624113	0.386873752	1.040647825	1.05775076	0.223874976	0.081572304	NA	8.77712766	0.54999111	3.735661425	0.211993344	1.316562116	0.034925733	0.112185687	2.249352696	0.316321034	0.061341297	0.321167485	12.93956213	2.734140152	3.954709469
IGHV1.27	0.846018864	0.480688956	0.043141325	1.294309748	8.670772676	0.933795593	0.996003888	2.311065355	0.348190463	1.320138545	1.753219032	4.250243007	1.514821898	0.655084277	36.96985816	6.098674067	8.183118242	0.117706848	1.021880663	2.197461739	1.033927545	2.907119476	0.933297629	4.217846936	0.900517539	0.688006025	2.85712225	NA	9.147340426	2.036685829	4.064292322	0.46592575	0.858953631	1.777886104	1.490118577	1.818417201	0.583827094	0.40593505	0.637588652	4.632130743	3.124731603	0.932748538
IGHV1.30	0.264619434	0.23035461	0.213198409	0.886788718	1.861888764	1.388297872	1.00644418	1.760390452	0.184511186	0.598367145	1.387798664	1.017928502	0.885668181	1.576609561	14.70567376	5.624730188	0.131496338	0.210289714	1.457883079	1.883538634	1.940003834	0.1898527	1.166269049	2.969990473	0.214408938	1.769158351	0.727875947	NA	7.527659574	0.598115332	3.152173913	0.211993344	1.824807605	1.102655273	1.390126987	1.687830688	0.298747643	0.977852432	0.106792144	0.733271662	1.585008784	0.613412965
IGHV1.32	1.375257732	0.578237082	0.232762498	0.598367145	7.880552445	2.861987082	1.133815747	1.320292839	0.552541561	1.34453241	1.283963368	0.635813803	1.367499402	2.83669522	6.838652482	3.290780142	7.727938612	0.135906899	0.782468622	2.27864875	0.992236918	0.526050191	0.601489849	0.819625278	1.684301323	1.567124835	2.424161558	NA	6.401595745	1.264979553	3.802728955	0.241293237	0.828946517	0.172965533	1.870574384	1.109985365	0.355373014	1.167288789	0.499945445	1.171446192	9.945930119	1.306208784
IGHV1.33	1.749287124	0.600567376	0.42689846	0.04017813	10.92235909	1.919927812	1.468949131	2.370777091	0.623965246	1.515289461	0.441300007	2.890916946	1.68467607	0.821359492	10.90070922	9.45205057	7.444715731	0.053017538	0.290019464	0.075774543	0.025014376	2.147708674	0.941769317	2.69371229	0.178674115	4.330069667	2.110421926	NA	10.15	1.505600664	3.661887142	1.085819565	0.772683179	0.221196307	1.365738794	2.977372509	0.80056558	0.988677367	0	2.181930311	4.138005075	0.451038945
IGHV1.37	0.202281202	0.357284701	0.330081301	0.792083127	6.397536394	0.457256839	1.002268064	0.325097232	0.964219744	0.351558634	1.335881016	0.576304137	0.445433899	2.151561205	26.2748227	2.468085106	8.14265783	0.104254637	0.260822874	1.488428518	0.241805635	0.700081833	0.463118944	1.818831375	0.807606999	0.988326116	1.265416516	NA	0	0.912641498	0.650555042	0.341832085	0.526999935	0.013305041	0.631654192	2.272205336	0.269458659	0.606196342	0.873322422	0.062596361	3.826664064	1.120380739
